image	result	hint
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/3975_pair.png	identification	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4369_pair.png	identification	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2591_pair.png	propertyascription	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4515_pair.png	elaboration	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/1242_pair.png	identification	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4528_pair.png	propertyascription	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/53_pair.png	identification	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/1435_pair.png	identification	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/2695_pair.png	elaboration	Incorrect. Think about the relationship between the elements A and B.
https://s3.datacloud.helsinki.fi/crowdsrc:disc-rel/4086_pair.png	preparation	Incorrect. Think about the relationship between the elements A and B.